time	V(gatedmirrorout)
9.821592710078962e-09	3.334041e-01
9.847084867237849e-09	3.055716e-01
9.867740953092708e-09	2.774790e-01
9.891393021700314e-09	2.399866e-01
9.914776497457988e-09	1.983051e-01
9.940962747466958e-09	1.479480e-01
9.970703124999999e-09	8.843213e-02
9.986626862296364e-09	5.623808e-02
1.000000000000000e-08	2.932747e-02
1.000401194131109e-08	2.129912e-02
1.000936119639255e-08	1.064258e-02
1.002005970655546e-08	-1.043917e-02
1.004145672688127e-08	-5.121025e-02
1.007075360188128e-08	-1.027261e-01
1.010005047688128e-08	-1.478944e-01
1.012934735188128e-08	-1.857057e-01
1.015864422688128e-08	-2.153029e-01
1.018794110188128e-08	-2.358529e-01
1.021723797688128e-08	-2.470138e-01
1.024653485188128e-08	-2.491221e-01
1.027583172688129e-08	-2.427694e-01
1.030512860188129e-08	-2.285179e-01
1.033442547688129e-08	-2.071797e-01
1.036372235188129e-08	-1.800440e-01
1.039301922688129e-08	-1.485704e-01
1.042231610188129e-08	-1.140398e-01
1.045161297688129e-08	-7.768382e-02
1.048090985188129e-08	-4.093117e-02
1.051020672688130e-08	-5.237976e-03
1.053950360188130e-08	2.824564e-02
1.056880047688130e-08	5.864607e-02
1.059809735188130e-08	8.511481e-02
1.062739422688130e-08	1.068628e-01
1.065669110188130e-08	1.234285e-01
1.068598797688130e-08	1.347053e-01
1.071528485188131e-08	1.407056e-01
1.074458172688131e-08	1.414881e-01
1.077387860188131e-08	1.373402e-01
1.080317547688131e-08	1.288421e-01
1.083247235188131e-08	1.166678e-01
1.086176922688131e-08	1.014477e-01
1.089106610188131e-08	8.387864e-02
1.092036297688132e-08	6.481010e-02
1.094965985188132e-08	4.510556e-02
1.097895672688132e-08	2.548788e-02
1.100825360188132e-08	6.593257e-03
1.103755047688132e-08	-1.092263e-02
1.106684735188132e-08	-2.645452e-02
1.109614422688132e-08	-3.958572e-02
1.112544110188133e-08	-5.006815e-02
1.115473797688133e-08	-5.770667e-02
1.118403485188133e-08	-6.236504e-02
1.121333172688133e-08	-6.407062e-02
1.124262860188133e-08	-6.301644e-02
1.127192547688133e-08	-5.945006e-02
1.130122235188133e-08	-5.363334e-02
1.133051922688133e-08	-4.591245e-02
1.135981610188134e-08	-3.673759e-02
1.138911297688134e-08	-2.657178e-02
1.141840985188134e-08	-1.582781e-02
1.144770672688134e-08	-4.911413e-03
1.147700360188134e-08	5.742798e-03
1.150630047688134e-08	1.573133e-02
1.153559735188134e-08	2.474695e-02
1.156489422688135e-08	3.255301e-02
1.159419110188135e-08	3.893442e-02
1.162348797688135e-08	4.372337e-02
1.165278485188135e-08	4.685377e-02
1.168208172688135e-08	4.834713e-02
1.171137860188135e-08	4.825729e-02
1.174067547688135e-08	4.666739e-02
1.176997235188136e-08	4.372958e-02
1.179926922688136e-08	3.966085e-02
1.182856610188136e-08	3.469082e-02
1.185786297688136e-08	2.904080e-02
1.188715985188136e-08	2.295094e-02
1.191645672688136e-08	1.668651e-02
1.194575360188136e-08	1.049738e-02
1.197505047688136e-08	4.590599e-03
1.200434735188137e-08	-8.508766e-04
1.203364422688137e-08	-5.651495e-03
1.206294110188137e-08	-9.667143e-03
1.209223797688137e-08	-1.281104e-02
1.212153485188137e-08	-1.503990e-02
1.215083172688137e-08	-1.632983e-02
1.218012860188137e-08	-1.668437e-02
1.220942547688138e-08	-1.615458e-02
1.223872235188138e-08	-1.482988e-02
1.226801922688138e-08	-1.281131e-02
1.229731610188138e-08	-1.020766e-02
1.232661297688138e-08	-7.150175e-03
1.235590985188138e-08	-3.788885e-03
1.238520672688138e-08	-2.686994e-04
1.241450360188139e-08	3.280513e-03
1.244380047688139e-08	6.732711e-03
1.247309735188139e-08	9.963047e-03
1.250239422688139e-08	1.286484e-02
